system:index,Subbasin,aet,date,pdsi,pet,pr,ro,soil,swe,tmmn,tmmx,.geo
198307_0000d4da10d8dcbac1b0,12,821.7793007161066,1.9830701E7,158.9921397205516,821.930631419796,142.91991958559953,56.30668576824131,1210.8850844489584,8.095804026183539E-6,110.2932202299759,197.81148180847927,
198307_0000daa2e88e222a53c3,9,828.6630046969534,1.9830701E7,201.71118622919684,828.6630046969534,146.5977500874653,61.497244484584705,1378.6972120846517,0.0,103.09146595042817,195.67712556454237,
198307_00008c159663543e8645,8,832.7013994838195,1.9830701E7,165.57278449131903,832.8303272251395,143.6019105182755,53.64766296480254,1215.0322473477083,0.0,87.93814857424097,181.958932916746,
198307_0000de5013cc29300392,6,858.3749723218854,1.9830701E7,192.83613330029615,858.4670014444652,150.84373101920943,59.34414611936746,1084.5385815472312,0.0,70.58746699258978,172.47912908133083,
198307_0000168c334242d20765,5,832.8866109699054,1.9830701E7,204.06447715145535,832.8866109699054,149.64051179275464,65.98128036344661,1246.9940024483785,0.0,63.841286239810074,165.9653350310895,
198307_0000cb0aabacd678f3cf,2,866.4671132945776,1.9830701E7,191.8055228884109,866.4671132945776,153.74518591120525,67.14665449977386,1035.1695429972735,0.0,47.255150534372895,156.064320909592,
198307_0000181e9ee1021c33fd,1,848.6864685469259,1.9830701E7,151.918249750977,849.2216732931737,149.6477242346158,67.97685385792884,1164.4148476444648,0.08006757646594502,40.49473672956871,145.9492125824275,
198307_0000cafaf5ad395dbed2,3,849.5619299134546,1.9830701E7,214.02469036881004,849.7065984022099,168.29483653007674,81.94963430038935,950.7912275220248,0.0,42.75614950333164,149.23305667001836,
198307_0000f539b753c50b4245,4,827.791777890711,1.9830701E7,245.97135736906628,828.9495075726319,176.4992440868401,96.2025921819685,988.1975137623986,0.021183235266976224,40.75101665496082,144.04786500892,
198307_000093627540d08c2e25,7,805.9082185666521,1.9830701E7,166.81565462735085,806.9300367218062,154.52852526564325,75.16603894822698,1100.8613125041654,0.018714691941068565,55.01534646453986,151.54565085645052,
198307_0000976156db9c725e35,10,798.9763292166592,1.9830701E7,171.3315929447133,800.7866170830999,152.18824182069574,80.91203999344883,1125.679245831028,0.48925846796227224,47.43359929142429,143.4136067710854,
198308_000071ae51516e393968,11,811.3460026744048,1.9830801E7,68.01259319389906,814.3730318813474,115.6108239500317,35.74630000465983,1209.6254395144997,0.22534488587709833,54.1278382289373,155.08407117223848,
198308_0000266fb817570ef2ea,14,915.0417290192938,1.9830801E7,105.85911808643934,915.0542850139385,147.54385952597897,55.9720672610587,1140.2614879198652,0.0,125.0035106485419,219.10222078351802,
198308_0000444f8f5d5affa846,13,922.5203081109929,1.9830801E7,135.09238306153674,922.5203081109929,165.87883677042865,73.56395259295279,1146.5167230017594,0.0,136.41917763387673,231.6982692577741,
198308_0000d4da10d8dcbac1b0,12,893.2845207005851,1.9830801E7,140.14536638013388,893.4837867051418,126.56433344237774,37.205314406881236,1210.8850844489582,0.0,96.5391577758681,201.49380885824755,
198308_0000daa2e88e222a53c3,9,905.913841603597,1.9830801E7,189.06278531388517,905.913841603597,123.72175314092733,33.13794953952753,1378.6972120846517,0.0,89.11482517201175,201.6817944591846,
198308_00008c159663543e8645,8,921.106011728129,1.9830801E7,143.67731817290687,921.7151620483273,112.2794672566583,20.286923217354726,1214.2990875200057,0.0,72.93032766531624,188.60067441935215,
198308_0000de5013cc29300392,6,960.2495309103623,1.9830801E7,154.77257838158553,983.8998089250779,102.11753928154425,10.209226950674314,1044.1258942608026,0.0,54.620698987570044,183.47789048026013,
198308_0000168c334242d20765,5,948.6096004377916,1.9830801E7,165.4398206836,953.8645942789713,105.75623485213724,11.824504751217635,1238.0023105070022,0.0,49.30538078593254,177.18199314340083,
198308_0000cb0aabacd678f3cf,2,978.5177316404114,1.9830801E7,126.647794044315,1021.3716679269861,95.45890130295459,5.132198592534423,961.7048179186204,0.0,31.074467030497267,170.73445444927694,
198308_0000181e9ee1021c33fd,1,965.8431744578023,1.9830801E7,78.68553425199589,997.3854781353698,98.82248793488556,7.796044157156727,1110.8750079858721,0.0,26.625628853314545,160.8686888480932,
198308_0000cafaf5ad395dbed2,3,977.8981154189671,1.9830801E7,138.45820650208424,1021.0425114746599,95.55927511739786,5.193481269269015,877.1377014351533,0.0,25.50201587385085,164.67595539629326,
198308_0000f539b753c50b4245,4,959.0374653453657,1.9830801E7,170.6316053519352,994.5848367961177,97.44790951106765,7.498029385262672,929.4150784878545,0.0,23.15267467711587,157.3437203576134,
198308_000093627540d08c2e25,7,904.4304966304279,1.9830801E7,128.27575799917673,909.9461221035726,107.13591889183041,17.51418557853989,1093.5663549054077,0.0,38.76710004183698,159.38335489006482,
198308_0000976156db9c725e35,10,891.3217088613213,1.9830801E7,128.02307585054837,904.442056468699,104.64071875768681,17.867140589812536,1107.0612976788514,0.06111561166236858,32.77259905122536,150.28847609869024,
198309_000071ae51516e393968,11,542.1338954370655,1.9830901E7,-83.43292468067266,549.3709405624036,106.75399930787937,51.72819753268399,1209.6254395144997,1.1104659065980689,39.670842764949384,131.89257493176126,
198309_0000266fb817570ef2ea,14,650.3416667595668,1.9830901E7,-71.96037930584087,650.3542227542115,108.37273290017139,43.26020877630475,1140.2614879198652,0.0,111.0328365354815,192.6743165709187,
198309_0000444f8f5d5affa846,13,660.4210461567889,1.9830901E7,-9.217120315243175,660.4210461567889,115.74175977480348,49.76132374555718,1146.5167230017594,0.0,123.38094975512048,205.3208569695517,
198309_0000d4da10d8dcbac1b0,12,610.1163580514504,1.9830901E7,19.136575716414168,610.6531142454982,111.41575115108532,50.315928146166165,1210.8850844489584,0.0,81.80191975936549,173.57638278028793,
